,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,PPG,APG,BPG,SPG,3P%
0,Alex Abrines,abrinal01,2017,2387,1135,0.74550503,-0.372937821,0.372567208,-0.418552811,-3.85701115,-4.2755639610000005,0.543421233,-1.14483179,-0.601410556,1.249007678,1.4477081219999999,-0.19870044399999998,0.07710201,-1.038677268,-0.961575257,0.326412665,5.970588235294118,0.5882352941176471,0.11764705882352941,0.5441176470588235,0.381
1,Alex Abrines,abrinal01,2018,2546,1244,0.317549034,-1.725325253,-1.407776219,-1.291727136,-0.049693633,-1.341420769,-0.020825876,-1.50264169,-1.5234675659999999,0.77730446,0.465912151,0.311392309,-0.17462116600000002,-1.112625391,-1.2872465579999999,-0.456141151,5.970588235294118,0.5882352941176471,0.11764705882352941,0.5441176470588235,0.381
2,Alex Abrines,abrinal01,2019,1279,588,-3.2156832110000004,1.07839855,-2.137284661,-6.158856473999999,4.901168272,-1.257688202,-4.040156587,1.885618356,-2.1545382319999997,0.17816732,0.17816732,0.0,-4.577677598999999,1.5432817330000002,-3.034395865,-0.268013102,5.3,0.6,0.2,0.5,0.32299999999999995
3,Quincy Acy,acyqu01,2014,1716,847,-1.716079145,0.13311503,-1.582964115,-0.32481075800000003,-1.6614952330000001,-1.986305991,-1.565257149,-0.216476793,-1.7817339419999998,0.41591808399999997,0.41591808399999997,0.0,-1.46441703,-0.223754299,-1.688171329,-0.554897683,2.7142857142857144,0.42857142857142855,0.4107142857142857,0.3392857142857143,0.2
4,Quincy Acy,acyqu01,2015,2517,1287,-2.014956419,-1.2684398559999999,-3.283396275,-3.855207449,2.803841564,-1.051365885,-2.456064586,-0.420948055,-2.8770126410000003,-0.083312615,-0.083312615,0.0,-2.7972240289999997,-1.648024182,-4.44524821,-0.100453505,5.852941176470588,1.0,0.3235294117647059,0.39705882352941174,0.3
5,Quincy Acy,acyqu01,2016,1852,876,-0.008327616999999999,0.340783371,0.332455754,-2.7984896530000003,0.130300896,-2.668188757,-0.58754047,0.353933379,-0.23360709100000002,1.123479142,1.123479142,0.0,-1.4061077380000002,0.021970053,-1.384137685,-0.102988345,5.203389830508475,0.4576271186440678,0.4067796610169492,0.4915254237288136,0.38799999999999996
6,Quincy Acy,acyqu01,2017,1169,558,-0.12900183699999998,0.444338671,0.315336834,-1.345267311,0.8067008840000001,-0.538566428,-0.343630331,0.576149899,0.232519568,0.835632018,0.835632018,0.0,-0.9220874809999999,-0.059176987,-0.981264468,0.125008446,6.53125,0.5625,0.46875,0.4375,0.434
7,Quincy Acy,acyqu01,2018,2856,1359,-2.620031644,-0.8062691040000001,-3.4263007489999997,0.055169946,-0.01919541,0.035974536,-2.2081824269999997,-0.658814194,-2.866996621,-0.08123232,-0.08123232,0.0,-1.826813152,-0.890246236,-2.717059388,0.13613926199999998,5.842105263157895,0.47368421052631576,0.39473684210526316,0.3684210526315789,0.41100000000000003
8,Quincy Acy,acyqu01,2019,278,123,-5.74131663,3.253365283,-2.487951347,-3.3080269560000004,10.09873237,6.7907054129999995,-5.581744442000001,4.969011211000001,-0.612733231,0.135231411,0.135231411,0.0,-5.877810864,2.4957483419999997,-3.382062522,0.8419807859999999,1.7,0.8,0.4,0.1,0.133
9,Jaylen Adams,adamsja01,2019,952,428,-2.6799197180000003,-4.592001676000001,-7.271921394,-0.535826888,0.6175083379999999,0.08168145,-2.377643964,-3.734729095,-6.112373058999999,-0.733513242,-0.733513242,0.0,-2.0231453090000002,-4.304853077,-6.327998386,-0.09901821400000001,3.2,1.9,0.1,0.4,0.33799999999999997
